Item,Size,Quantity ,CAT No.,Vendor , Unit Price ,Initial,Date Requested ,Status ,Order Date,GR #,Order # ,Expected Delivery Date,Tracking #,Storage,Comments ,Link,Received (initial/date),Stored
"Pure Ponta Weigh Boats Medium - 125 Pack 100 ml Plastic Disposable Trays for Scale, Square Weighing Dishes for Powder Weight, Epoxy, Food Samples - Pour Boat Tray, Anti-Static Lab Dish Container",Pack of 125,2,,Amazon,$15.89 ,GH ,20-Jan-26,Received,28-Jan-26,,,,,,,,,
"Reynolds Wrap Aluminum Foil, 200 Square Feet",200 sqft,2,,Amazon,$10.46 ,GH,20-Jan-26,Received,28-Jan-26,,,,,,,,,
"Goat anti-Mouse IgG (H+L) Highly Cross-Adsorbed Secondary Antibody, Alexa Fluor™ 488",1 mg,1,A-11029,Thermo Fisher,$349.00 ,MK,19-Jan-26,Received,20-Jan-26,,15228333,,,,,,,
"Dextrose Anhydrous (Crystalline Granules/Molecular Biology), Fisher BioReagents",500 g,1,BP350-500,Fisher Sci,$48.05 ,GH ,27-Jan-26,Received,28-Jan-26,,,,,,,,,
"Fisherbrand™ SureOne™ Beveled Pipette Tips, Universal Fit (1000 ?L)",Pack of 1000,2,02-707-400,Fisher Sci,$17.42 ,GH ,27-Jan-26,Received,28-Jan-26,,D60289768,,,,,,,
"Fisherbrand™ SureOne™ Micropoint Nano Pipette Tips, Universal Fit (10 ?L)",Pack of 1000,2,02-707-146,Fisher Sci,$31.39 ,GH ,27-Jan-26,Received,28-Jan-26,,D60289768,,,,,,,
Fisherbrand™ Comfort Nitrile Gloves (Large),Case of 10,1,19-041-171D,Fisher Sci,$101.57 ,GH,28-Jan-26,Received,28-Jan-26,,D60289768,,,,,,,
"Goat anti-Rabbit IgG (H+L) Highly Cross-Adsorbed Secondary Antibody, Alexa Fluor™ 647",1 mg,1,A21245,Thermo Fisher,$349.00 ,MK,30-Jan-26,Received,30-Jan-26,,,,,,,https://www.thermofisher.com/antibody/product/A21245.html?ef_id=Cj0KCQiAyvHLBhDlARIsAHxl6xrzT6us7W3Rpj2yJ-aAjpfrWqmfgH0vrbIJtEOsx1IJdf4CH232ejwaAsbCEALw_wcB:G:s&s_kwcid=AL!3652!3!!!!x!!!22626576456!&gad_source=1&gad_campaignid=22626577815&gbraid=0AAAAADxi_GQGlnUHfLzMt2SsvZ3s_MZSC&gclid=Cj0KCQiAyvHLBhDlARIsAHxl6xrzT6us7W3Rpj2yJ-aAjpfrWqmfgH0vrbIJtEOsx1IJdf4CH232ejwaAsbCEALw_wcB,,
Salt-T4® DNA Ligase,"20,000 units",1,M0467S,NEB,$78.00 ,GH ,3-Feb-26,Received,4-Feb-26,,7319592,,,,,,,
Research Products International Corp TRIS Hydrochloride [Tris(hydroxymethyl) aminomethane HCl],1 Kg,1,50-213-711,Fisher Sci,$184.06 ,SC,20-Feb-26,Received,20-Feb-26,,,,,,,,,
