Item,Size,Quantity ,CAT No.,Vendor , Unit Price ,Initial,Date Requested ,Status ,Order Date,GR #,Order # ,Expected Delivery Date,Tracking #,Storage,Comments ,Link,Received (initial/date),Stored
"6x-His Tag Monoclonal Antibody (HIS.H8), DyLight™ 680",50 µL,1,MA121315D680,Thermo Fisher,$294.00 ,GH,,Received,25-Sep-25,,14688236,,,4,,,,
Endotheial Cell Growth Medium 2 (ready to use),500 ml,1,C-22011/50-306-188,PromoCell/Fisher Sci,$254.14 ,SP,6-Sep-25,Received,15-Sep-25,,D52584299,,,,C-39216 SupplementMix already included in this ready to use ,https://promocell.com/us_en/endothelial-cell-growth-medium-2.html?sku=C-22011,,
"Falcon™ Disposable Polystyrene Serological Pipets, Sterile (10 mL)",Case of 200,1,13-675-20,Fisher Sci,,SP,8-Sep-25,Cancelled,,,,,,,,,,
Bel-Art™ Bench-Top Biohazard Bag Holder (Cover),Each of 1,2,11-394-303,Fisher Sci,$19.54 ,GH,9-Sep-25,Received,15-Sep-25,,D52584299,,,,,,,
Bel-Art™ Bench-Top Biohazard Bag Holder (Kit),Each of 1,2,11-394-310,Fisher Sci,$71.34 ,GH,9-Sep-25,Received,15-Sep-25,,D52584299,,,,,,,
"New England Biolabs, Inc. Quick-Load Purple 1 kb Plus DNA Ladder – 1.25 ml",1.25 mL,2,N0550S,Fisher Sci,$90.95 ,GH,9-Sep-25,Received,15-Sep-25,,D52584299,,,,,,,
Fisherbrand™ One-Hole Rubber Stoppers (size #7),Pack of 15,1,14-135L,Fisher Sci,$180.47 ,GH,9-Sep-25,Received,15-Sep-25,,D52584299,,,,,,,
Fisherbrand™ Screw Top Polypropylene Histology Containers with Lids (32 oz.),Case of 12,1,22-026-315,Fisher Sci,$45.73 ,MRS,12-Sep-25,Received,15-Sep-25,,D52584299,,,,,,,
Eagle™ Step-On Biohazard Waste Containers (14 gal.),Each of 1,1,18-880C,Fisher Sci,$120.54 ,MRS,12-Sep-25,Received,15-Sep-25,,D52584299,,,,,,,
Bovine Fibronectin,5 mg,1,F1141,Sigma,$781.00 ,ET,17-Sep-25,Received,18-Sep-25,,3036019699,,,,,https://www.sigmaaldrich.com/US/en/product/sigma/f1141?srsltid=AfmBOor57Qh056eGNKFVm2wsRVUVFUcucQ46UYvW-IK2YGtzVwZixJS9,,
"Fisherbrand™ SureOne™ Beveled Pipette Tips, Universal Fit (200 ?L)",Case of 5 PK (960/PK),1,02-707-420,Fisher Sci,$151.84 ,GH,23-Sep-25,Received,6-Oct-25,,D52796925,,,,,,,
Basix™ Polypropylene Conical Centrifuge Tubes (15 mL),Case of 500,1,14-955-237,Fisher Sci,$68.79 ,GH,23-Sep-25,Received,6-Oct-25,,D52796925,,,,,,,
"GenDEPOT ACRYLAMIDE:BIS 30%,29:1,495ML",495 mL,1,50-101-5460,Fisher Sci,$114.69 ,GH,23-Sep-25,Received,6-Oct-25,,D52796925,,,,,,,
Q5 polymerase NEB,100 units,1,M0491S,NEB,$133.00 ,GH,23-Sep-25,Received,,,7307096,,,,,,,
United Scientific™ Gas Lighter,1 each,5,S99453,Fisher Sci,$3.75 ,GH,23-Sep-25,Received,6-Oct-25,,D52796925,,,,,,,
Alexa Fluor™ 488 Cadaverine,1 mg,1,A30676,Thermo Fisher,$436.00 ,MRS,,Received,25-Sep-25,,14688236,,,-20,,,,
InVision™ His-Tag In-Gel Stain,500 mL,1,LC6030,Thermo Fisher,$626.00 ,MRS,,Received,25-Sep-25,,14688236,,,Cabinet,,,,
Anti-CD31 antibody [EPR17260-263],100 uL,1,ab222783,abcam,$400.00 ,SP,1-Oct-25,Cancelled,,,,,,,,,,
Goat Anti-Rabbit IgG H&L (Alexa Fluor® 488),500 ug,1,ab150077,abcam,$150.00 ,SP,1-Oct-25,Do not order yet,,,,,,,,,,
TN 760 Toner Cartriges Replacement for Brother,4 pk,1,,Amazon,$38.33 ,MK,2-Oct-25,Cancelled,,,7307096,,,,,,,
NEBuilder® HiFi DNA Assembly Master Mix,10 rxns,1,E2621S,NEB,$180.00 ,GH,3-Oct-25,Received,25-Oct-25,,,,,,,,,
CD31 Monoclonal Antibody,500 uL,1,MA5-13188,Thermo Fisher,$459.65 ,SP,8-Oct-25,Received,10-Oct-25,,14769227,,,,,https://www.thermofisher.com/antibody/product/CD31-Antibody-clone-JC-70A-Monoclonal/MA5-13188?imageId=739884,,
Wizard® Plus Megapreps DNA Purification System,5 preps,1,A7300,Promega,$422.00 ,SP,8-Oct-25,Received,10-Oct-25,,4162341,,,,,https://www.promega.com/products/nucleic-acid-extraction/plasmid-purification/wizard-plus-megapreps-dna-purification-system/?catNum=A7300,,
"Falcon™ Disposable Polystyrene Serological Pipets, Sterile (10 mL)",Case of 200,3,13-675-20,Fisher Sci,$48.92 ,GH,9-Oct-25,Received,10-Oct-25,,D52839430,,,,,,,
Corning™ Transwell™ Multiple Well Plate with Permeable Polyester Membrane Inserts,0.4 um,1,07-200-154,Fisher Sci,$301.73 ,ET,10-Oct-25,Received,10-Oct-25,,D52839430,,,,,https://www.fishersci.com/shop/products/costar-transwell-clear-polyester-membrane-inserts-for-24-well-plates-4/07200154#?keyword=corning%203470,,
"BN-LINK Short Period Repeat Cycle Intermittent Timer, Interval Timer - Day, Night, or 24 Hour Operation, Photocell Light Sensor Dusk to Dawn for Hydroponics Aquaponics Aeroponics",1,1,,Amazon,$26.49 ,GH,13-Oct-25,Received,13-Oct-25,,,,,,,,,
"Active Element Ethanol Alcohol 95%-Denatured Ethyl Alcohol-4 Gallon-High Purity-Multi-Use for Lab Use, Bio Ethanol Fuel, Ethanol Fireplace Fuel, Denatured Alcohol Solvent, Surface Cleaning and More",4 Gallons,1,,Amazon,$114.95 ,GH,13-Oct-25,Received,13-Oct-25,,,,,,,,,
Anaspec 390 MMP FRET Substrate 1,5 mg,1,AS-27077,Anaspec,$509.00 ,GH,20-Oct-25,Received,24-Oct-25,,U975Q268G0,,,,,,,
"c-Myc-tag Antibody, pAb, Rabbit",40 ug,1,A00172-40,GenScript,$102.00 ,MK,24-Oct-25,Received,24-Oct-25,,25403,,,,,https://www.genscript.com/antibody/A00172-c_Myc_tag_Antibody_pAb_Rabbit.html#tab_Overview,,
Endothelial Cell Growth Medium 2,500mL,1,C-22011 ,PromoCell/Fisher Sci,$186.00 ,SP,24-Oct-25,Cancelled,,,,,,,,https://promocell.com/us_en/endothelial-cell-growth-medium-2.html?sku=C-22011,,
NEB SOC Outgrowth Medium,100 mL,1,B9020S,NEB,$104.00 ,GH,25-Oct-25,Received,25-Oct-25,,7307096,,,,,,,
FreeStyle™ 293 Expression Medium,1L,1,12-338-018,Thermo Fisher,$170.00 ,SP,28-Oct-25,Received,,,,,,,Fisher Supply Center,https://www.thermofisher.com/order/catalog/product/12338018,,
Corning™ Matrigel™ Matrix,10 mL,1,CB-40234,Fisher Sci,$274.00 ,SP,10-Nov-25,Received,10-Nov-25,,,,,,,,,
Thermo Scientific™ Fiberboard Storage Boxes (Colored),Pack of 12,1,19-508-78,Fisher Sci,$75.77 ,SP,10-Nov-25,Received,10-Nov-25,,,,,,,,,
"Promocell GmbH PromoCell Endothelial Cell Growth Medium 2 500 ml, ready-to-use, low serum, with Supplement Mix C-39216 attached to the flask",500 mL,1,50-306-189,Fisher Sci,$243.66 ,SP,24-Oct-25,Received,10-Nov-25,,,,,,,,,
BL21 Star™ (DE3)pLysS One Shot™ Chemically Competent E. coli,21 x 50 uL,1,C602003,Thermo Fisher,$457.52 ,MRS,10-Nov-25,Received,25-Nov-25,,,,,,,https://www.thermofisher.com/order/catalog/product/C602003?SID=srch-srp-C602003,,
